fecha,temp_media,precipitacion
2021-03-31,13.36,0.0
2021-04-01,14.94,0.0
2021-04-02,16.2,0.0
2021-04-03,16.4,0.4
2021-04-04,14.47,0.0
2021-04-05,14.75,0.0
2021-04-06,13.52,0.2
2021-04-07,10.36,0.8
2021-04-08,12.41,0.0
2021-04-09,12.55,0.0
2021-04-10,12.76,2.2
2021-04-11,13.15,23.6
2021-04-12,11.62,6.6
2021-04-13,12.63,0.0
2021-04-14,12.5,0.0
2021-04-15,12.78,0.0
2021-04-16,11.64,0.0
2021-04-17,10.75,0.0
2021-04-18,12.75,0.0
2021-04-19,12.96,0.0
2021-04-20,13.39,0.0
2021-04-21,12.54,0.0
2021-04-22,13.38,0.0
2021-04-23,14.32,0.0
2021-04-24,14.6,0.0
2021-04-25,16.28,0.0
2021-04-26,15.76,0.0
2021-04-27,15.04,0.0
2021-04-28,15.07,0.0
2021-04-29,15.22,0.0
2021-04-30,15.58,0.0
2021-05-01,14.49,0.0
2021-05-02,13.45,0.0
2021-05-03,14.46,0.0
2021-05-04,15.16,0.0
2021-05-05,16.33,0.0
2021-05-06,17.12,0.0
2021-05-07,16.99,0.0
2021-05-08,18.79,0.0
2021-05-09,18.15,0.0
2021-05-10,17.27,0.0
2021-05-11,15.82,0.0
2021-05-12,17.28,0.0
2021-05-13,17.39,0.0
2021-05-14,16.23,0.0
2021-05-15,17.45,0.0
2021-05-16,17.72,0.0
2021-05-17,16.9,0.0
2021-05-18,17.26,0.0
2021-05-19,16.92,0.0
2021-05-20,16.85,3.0
2021-05-21,17.89,0.0
2021-05-22,16.75,0.0
2021-05-23,15.77,0.0
2021-05-24,17.34,1.2
2021-05-25,16.55,0.0
2021-05-26,16.91,0.0
2021-05-27,18.41,0.0
2021-05-28,19.71,0.0
2021-05-29,21.82,0.0
2021-05-30,22.17,0.0
2021-05-31,21.1,0.0
2021-06-01,19.92,0.6
2021-06-02,20.76,0.0
2021-06-03,20.79,0.0
2021-06-04,21.09,0.0
2021-06-05,20.74,0.0
2021-06-06,21.24,4.2
2021-06-07,20.68,0.0
2021-06-08,22.0,0.0
2021-06-09,23.82,0.0
2021-06-10,25.0,0.0
2021-06-11,25.64,0.0
2021-06-12,26.54,0.0
2021-06-13,27.62,0.0
2021-06-14,27.08,0.0
2021-06-15,27.42,0.0
2021-06-16,25.68,0.0
2021-06-17,24.3,0.0
2021-06-18,24.15,0.0
2021-06-19,24.2,0.0
2021-06-20,24.64,0.0
2021-06-21,25.3,0.0
2021-06-22,22.71,0.0
2021-06-23,21.71,0.2
2021-06-24,21.46,0.0
2021-06-25,22.75,0.0
2021-06-26,23.26,0.0
2021-06-27,24.06,0.0
2021-06-28,23.3,0.0
2021-06-29,22.97,0.0
2021-06-30,23.67,0.0
2021-07-01,24.39,0.0
2021-07-02,24.58,0.0
2021-07-03,24.8,0.0
2021-07-04,24.1,0.0
2021-07-05,25.14,0.0
2021-07-06,25.44,0.0
2021-07-07,24.2,0.0
2021-07-08,22.88,14.2
2021-07-09,24.32,0.0
2021-07-10,24.86,0.0
2021-07-11,25.25,0.0
2021-07-12,24.95,0.0
2021-07-13,22.71,0.0
2021-07-14,22.74,0.0
2021-07-15,23.69,0.0
2021-07-16,24.41,0.0
2021-07-17,24.56,0.0
2021-07-18,25.13,0.0
2021-07-19,26.7,0.0
2021-07-20,26.5,0.0
2021-07-21,26.66,0.0
2021-07-22,26.76,0.0
2021-07-23,27.34,0.0
2021-07-24,25.88,0.0
2021-07-25,25.2,0.0
2021-07-26,25.25,0.0
2021-07-27,25.38,0.0
2021-07-28,24.37,0.0
2021-07-29,25.36,0.0
2021-07-30,25.98,0.0
2021-07-31,24.15,8.4
2021-08-01,22.08,0.0
2021-08-02,23.14,0.0
2021-08-03,24.95,0.0
2021-08-04,22.85,1.4
2021-08-05,24.86,0.0
2021-08-06,24.1,0.0
2021-08-07,24.5,0.0
2021-08-08,23.08,0.0
2021-08-09,23.82,0.0
2021-08-10,24.58,0.0
2021-08-11,26.3,0.0
2021-08-12,26.61,0.0
2021-08-13,26.73,0.0
2021-08-14,27.59,0.0
2021-08-15,26.81,0.0
2021-08-16,25.86,0.0
2021-08-17,25.01,0.0
2021-08-18,24.34,0.0
2021-08-19,23.35,0.0
2021-08-20,24.63,0.0
2021-08-21,25.94,0.0
2021-08-22,25.62,0.0
2021-08-23,24.8,0.0
2021-08-24,24.63,0.4
2021-08-25,24.09,0.0
2021-08-26,24.65,0.0
2021-08-27,26.08,0.0
2021-08-28,24.58,0.0
2021-08-29,24.27,0.0
2021-08-30,22.48,0.0
2021-08-31,23.4,0.0
2021-09-01,23.48,0.0
2021-09-02,23.92,0.0
2021-09-03,24.13,0.0
2021-09-04,23.87,0.0
2021-09-05,24.98,0.0
2021-09-06,25.65,0.0
2021-09-07,25.49,0.0
