fecha,habitaciones_ocupadas,temp_media,precipitacion,día_semana,es_festivo,nombre_festivo,es_vispera_festivo,es_vacaciones,evento,media_antelacion_dias,num_cancelaciones,estancia_media_dias,año_llegada,mes_llegada
2021-04-01,1,14.94,0.0,3,False,,True,False,,14.0,0,3.0,2021,4
2021-04-02,6,16.2,0.0,4,True,Viernes Santo,False,False,,14.0,0,2.2,2021,4
2021-04-03,7,16.4,0.4,5,False,,False,False,,43.0,0,2.0,2021,4
2021-04-04,3,14.47,0.0,6,False,,True,False,,16.0,0,2.0,2021,4
2021-04-05,1,14.75,0.0,0,True,Lunes de Pascua,False,False,,,0,,2021,4
2021-04-06,0,13.52,0.2,1,False,,False,False,,,0,,2021,4
2021-04-07,0,10.36,0.8,2,False,,False,False,,,0,,2021,4
2021-04-08,1,12.41,0.0,3,False,,False,False,,3.0,0,1.0,2021,4
2021-04-09,1,12.55,0.0,4,False,,False,False,,23.0,0,2.0,2021,4
2021-04-10,2,12.76,2.2,5,False,,False,False,,0.0,0,1.0,2021,4
2021-04-11,0,13.15,23.6,6,False,,False,False,,,0,,2021,4
2021-04-12,0,11.62,6.6,0,False,,False,False,,,0,,2021,4
2021-04-13,0,12.63,0.0,1,False,,False,False,,,0,,2021,4
2021-04-14,0,12.5,0.0,2,False,,False,False,,,0,,2021,4
2021-04-15,0,12.78,0.0,3,False,,False,False,,,0,,2021,4
2021-04-16,0,11.64,0.0,4,False,,False,False,,,0,,2021,4
2021-04-17,9,10.75,0.0,5,False,,False,False,,0.0,0,1.0,2021,4
2021-04-18,0,12.75,0.0,6,False,,False,False,,,0,,2021,4
2021-04-19,0,12.96,0.0,0,False,,False,False,,,0,,2021,4
2021-04-20,0,13.39,0.0,1,False,,False,False,,,0,,2021,4
2021-04-21,0,12.54,0.0,2,False,,False,False,,,0,,2021,4
2021-04-22,0,13.38,0.0,3,False,,False,False,,,0,,2021,4
2021-04-23,0,14.32,0.0,4,False,,False,False,,,0,,2021,4
2021-04-24,0,14.6,0.0,5,False,,False,False,,2.0,0,1.0,2021,4
2021-04-25,9,16.28,0.0,6,False,,False,False,,3.0,0,2.0,2021,4
2021-04-26,9,15.76,0.0,0,False,,False,False,,,0,,2021,4
2021-04-27,0,15.04,0.0,1,False,,False,False,,,0,,2021,4
2021-04-28,0,15.07,0.0,2,False,,False,False,,,0,,2021,4
2021-04-29,2,15.22,0.0,3,False,,False,False,,10.5,0,3.0,2021,4
2021-04-30,5,15.58,0.0,4,False,,True,False,,17.333333333333332,0,3.0,2021,4
2021-05-01,5,14.49,0.0,5,True,Fiesta del Trabajo,False,False,,,0,,2021,5
2021-05-02,1,13.45,0.0,6,False,,False,False,,,0,,2021,5
2021-05-03,1,14.46,0.0,0,False,,False,False,,,0,,2021,5
2021-05-04,1,15.16,0.0,1,False,,False,False,,,0,,2021,5
2021-05-05,0,16.33,0.0,2,False,,False,False,,,0,,2021,5
2021-05-06,9,17.12,0.0,3,False,,False,False,,1.0,0,1.0,2021,5
2021-05-07,3,16.99,0.0,4,False,,False,False,Maratón de Barcelona,210.0,0,2.6666666666666665,2021,5
2021-05-08,4,18.79,0.0,5,False,,False,False,Fórmula 1 GP España,2.0,0,1.0,2021,5
2021-05-09,1,18.15,0.0,6,False,,False,False,Fórmula 1 GP España,26.0,0,3.0,2021,5
2021-05-10,1,17.27,0.0,0,False,,False,False,,,0,,2021,5
2021-05-11,1,15.82,0.0,1,False,,False,False,,,0,,2021,5
2021-05-12,0,17.28,0.0,2,False,,False,False,,,0,,2021,5
2021-05-13,9,17.39,0.0,3,False,,False,False,,49.22222222222222,0,3.0,2021,5
2021-05-14,9,16.23,0.0,4,False,,False,False,,,0,,2021,5
2021-05-15,9,17.45,0.0,5,False,,False,False,,,0,,2021,5
2021-05-16,0,17.72,0.0,6,False,,False,False,,,0,,2021,5
2021-05-17,0,16.9,0.0,0,False,,False,False,,,0,,2021,5
2021-05-18,9,17.26,0.0,1,False,,False,False,,4.0,0,1.0,2021,5
2021-05-19,0,16.92,0.0,2,False,,False,False,,,0,,2021,5
2021-05-20,9,16.85,3.0,3,False,,False,False,,29.0,0,1.0,2021,5
