fecha,habitaciones_ocupadas,temp_media,precipitacion,día_semana,es_festivo,nombre_festivo,es_vispera_festivo,es_vacaciones,evento,media_antelacion_dias,num_cancelaciones,estancia_media_dias,año_llegada,mes_llegada,prediccion_modelo,error_modelo,prediccion_modelo_todo,error_modelo_todo
2021-04-01,1,"14,94","0,0",3,False,,True,False,,"14,0",0,"3,0",2021,4,,,"1,9033333333333333","-0,9033333333333333"
2021-04-02,6,"16,2","0,0",4,True,Viernes Santo,False,False,,"14,0",0,"2,2",2021,4,,,"5,463333333333333","0,5366666666666671"
2021-04-03,7,"16,4","0,4",5,False,,False,False,,"43,0",0,"2,0",2021,4,,,"6,166666666666667","0,833333333333333"
2021-04-04,3,"14,47","0,0",6,False,,True,False,,"16,0",0,"2,0",2021,4,,,"3,1933333333333334","-0,19333333333333336"
2021-04-05,1,"14,75","0,0",0,True,Lunes de Pascua,False,False,,,0,,2021,4,,,"1,5333333333333334","-0,5333333333333334"
2021-04-06,0,"13,52","0,2",1,False,,False,False,,,0,,2021,4,,,"0,26666666666666666","-0,26666666666666666"
2021-04-07,0,"10,36","0,8",2,False,,False,False,,,0,,2021,4,,,"0,43","-0,43"
2021-04-08,1,"12,41","0,0",3,False,,False,False,,"3,0",0,"1,0",2021,4,,,"1,8733333333333333","-0,8733333333333333"
2021-04-09,1,"12,55","0,0",4,False,,False,False,,"23,0",0,"2,0",2021,4,,,"2,0933333333333333","-1,0933333333333333"
2021-04-10,2,"12,76","2,2",5,False,,False,False,,"0,0",0,"1,0",2021,4,,,"2,89","-0,8900000000000001"
2021-04-11,0,"13,15","23,6",6,False,,False,False,,,0,,2021,4,,,"1,0866666666666667","-1,0866666666666667"
2021-04-12,0,"11,62","6,6",0,False,,False,False,,,0,,2021,4,,,"0,44333333333333336","-0,44333333333333336"
2021-04-13,0,"12,63","0,0",1,False,,False,False,,,0,,2021,4,,,"0,10666666666666667","-0,10666666666666667"
2021-04-14,0,"12,5","0,0",2,False,,False,False,,,0,,2021,4,,,"0,15333333333333332","-0,15333333333333332"
2021-04-15,0,"12,78","0,0",3,False,,False,False,,,0,,2021,4,,,"0,32666666666666666","-0,32666666666666666"
2021-04-16,0,"11,64","0,0",4,False,,False,False,,,0,,2021,4,"0,8266666666666667","-0,8266666666666667","0,6733333333333333","-0,6733333333333333"
2021-04-17,9,"10,75","0,0",5,False,,False,False,,"0,0",0,"1,0",2021,4,,,"6,27","2,7300000000000004"
2021-04-18,0,"12,75","0,0",6,False,,False,False,,,0,,2021,4,,,"0,4633333333333333","-0,4633333333333333"
2021-04-19,0,"12,96","0,0",0,False,,False,False,,,0,,2021,4,,,"0,49333333333333335","-0,49333333333333335"
2021-04-20,0,"13,39","0,0",1,False,,False,False,,,0,,2021,4,,,"0,14333333333333334","-0,14333333333333334"
2021-04-21,0,"12,54","0,0",2,False,,False,False,,,0,,2021,4,,,"0,08666666666666667","-0,08666666666666667"
2021-04-22,0,"13,38","0,0",3,False,,False,False,,,0,,2021,4,,,"0,41","-0,41"
2021-04-23,0,"14,32","0,0",4,False,,False,False,,,0,,2021,4,,,"1,2766666666666666","-1,2766666666666666"
2021-04-24,0,"14,6","0,0",5,False,,False,False,,"2,0",0,"1,0",2021,4,"5,086666666666667","-5,086666666666667","1,84","-1,84"
2021-04-25,9,"16,28","0,0",6,False,,False,False,,"3,0",0,"2,0",2021,4,,,"7,01","1,9900000000000002"
2021-04-26,9,"15,76","0,0",0,False,,False,False,,,0,,2021,4,,,"5,823333333333333","3,1766666666666667"
2021-04-27,0,"15,04","0,0",1,False,,False,False,,,0,,2021,4,,,"0,7033333333333334","-0,7033333333333334"
2021-04-28,0,"15,07","0,0",2,False,,False,False,,,0,,2021,4,,,"0,35333333333333333","-0,35333333333333333"
2021-04-29,2,"15,22","0,0",3,False,,False,False,,"10,5",0,"3,0",2021,4,,,"2,52","-0,52"
2021-04-30,5,"15,58","0,0",4,False,,True,False,,"17,333333333333332",0,"3,0",2021,4,"5,15","-0,15000000000000036","4,743333333333333","0,2566666666666668"
